person,trial,choice,site
119,4,pre_crastinate,Aberdeen
119,5,pre_crastinate,Aberdeen
119,6,pre_crastinate,Aberdeen
120,1,pre_crastinate,Aberdeen
120,2,sensible,Aberdeen
120,3,sensible,Aberdeen
120,4,sensible,Aberdeen
120,5,sensible,Aberdeen
120,6,sensible,Aberdeen
121,1,sensible,Aberdeen
121,2,sensible,Aberdeen
121,3,sensible,Aberdeen
121,4,sensible,Aberdeen
121,5,sensible,Aberdeen
121,6,sensible,Aberdeen
122,1,pre_crastinate,Aberdeen
122,2,pre_crastinate,Aberdeen
122,3,pre_crastinate,Aberdeen
122,4,pre_crastinate,Aberdeen
122,5,pre_crastinate,Aberdeen
122,6,pre_crastinate,Aberdeen
123,1,sensible,Aberdeen
123,2,sensible,Aberdeen
123,3,sensible,Aberdeen
123,4,sensible,Aberdeen
123,5,sensible,Aberdeen
123,6,sensible,Aberdeen
124,1,pre_crastinate,Aberdeen
124,2,sensible,Aberdeen
124,3,sensible,Aberdeen
124,4,sensible,Aberdeen
124,5,sensible,Aberdeen
124,6,sensible,Aberdeen
125,1,sensible,Aberdeen
125,2,sensible,Aberdeen
125,3,sensible,Aberdeen
125,4,sensible,Aberdeen
125,5,sensible,Aberdeen
125,6,sensible,Aberdeen
126,1,sensible,Aberdeen
126,2,sensible,Aberdeen
126,3,sensible,Aberdeen
126,4,sensible,Aberdeen
126,5,sensible,Aberdeen
126,6,sensible,Aberdeen
300,1,sensible,Aberdeen
300,2,sensible,Aberdeen
300,3,sensible,Aberdeen
300,4,sensible,Aberdeen
300,5,sensible,Aberdeen
300,6,sensible,Aberdeen
301,1,double_pre_cra,Aberdeen
301,2,double_pre_cra,Aberdeen
301,3,double_pre_cra,Aberdeen
301,4,double_pre_cra,Aberdeen
301,5,double_pre_cra,Aberdeen
301,6,double_pre_cra,Aberdeen
302,1,pre_crastinate,Aberdeen
302,2,pre_crastinate,Aberdeen
302,3,pre_crastinate,Aberdeen
302,4,pre_crastinate,Aberdeen
302,5,pre_crastinate,Aberdeen
302,6,pre_crastinate,Aberdeen
303,1,pre_crastinate,Aberdeen
303,2,pre_crastinate,Aberdeen
303,3,pre_crastinate,Aberdeen
303,4,pre_crastinate,Aberdeen
303,5,pre_crastinate,Aberdeen
303,6,pre_crastinate,Aberdeen
304,1,pre_crastinate,Aberdeen
304,2,pre_crastinate,Aberdeen
304,3,pre_crastinate,Aberdeen
304,4,pre_crastinate,Aberdeen
304,5,sensible,Aberdeen
304,6,pre_crastinate,Aberdeen
305,1,pre_crastinate,Aberdeen
305,2,pre_crastinate,Aberdeen
305,3,pre_crastinate,Aberdeen
305,4,pre_crastinate,Aberdeen
305,5,pre_crastinate,Aberdeen
305,6,pre_crastinate,Aberdeen
306,1,pre_crastinate,Aberdeen
306,2,pre_crastinate,Aberdeen
306,3,pre_crastinate,Aberdeen
306,4,pre_crastinate,Aberdeen
306,5,pre_crastinate,Aberdeen
306,6,pre_crastinate,Aberdeen
307,1,pre_crastinate,Aberdeen
307,2,sensible,Aberdeen
307,3,sensible,Aberdeen
307,4,sensible,Aberdeen
307,5,sensible,Aberdeen
307,6,sensible,Aberdeen
308,1,pre_crastinate,Aberdeen
308,2,pre_crastinate,Aberdeen
308,3,pre_crastinate,Aberdeen
308,4,pre_crastinate,Aberdeen
308,5,pre_crastinate,Aberdeen
308,6,pre_crastinate,Aberdeen
309,1,pre_crastinate,Aberdeen
309,2,sensible,Aberdeen
309,3,sensible,Aberdeen
309,4,sensible,Aberdeen
309,5,sensible,Aberdeen
309,6,sensible,Aberdeen
310,1,pre_crastinate,Aberdeen
310,2,pre_crastinate,Aberdeen
310,3,pre_crastinate,Aberdeen
310,4,pre_crastinate,Aberdeen
310,5,pre_crastinate,Aberdeen
310,6,pre_crastinate,Aberdeen
311,1,sensible,Aberdeen
311,2,sensible,Aberdeen
311,3,sensible,Aberdeen
311,4,sensible,Aberdeen
311,5,sensible,Aberdeen
311,6,sensible,Aberdeen
312,1,pre_crastinate,Aberdeen
312,2,pre_crastinate,Aberdeen
312,3,pre_crastinate,Aberdeen
312,4,pre_crastinate,Aberdeen
312,5,pre_crastinate,Aberdeen
312,6,pre_crastinate,Aberdeen
313,1,pre_crastinate,Aberdeen
313,2,sensible,Aberdeen
313,3,sensible,Aberdeen
313,4,sensible,Aberdeen
313,5,sensible,Aberdeen
313,6,sensible,Aberdeen
314,1,sensible,Aberdeen
314,2,sensible,Aberdeen
314,3,sensible,Aberdeen
314,4,sensible,Aberdeen
314,5,sensible,Aberdeen
314,6,sensible,Aberdeen
315,1,pre_crastinate,Aberdeen
315,2,pre_crastinate,Aberdeen
315,3,pre_crastinate,Aberdeen
315,4,pre_crastinate,Aberdeen
315,5,pre_crastinate,Aberdeen
315,6,pre_crastinate,Aberdeen
316,1,sensible,Aberdeen
316,2,sensible,Aberdeen
316,3,sensible,Aberdeen
316,4,sensible,Aberdeen
316,5,sensible,Aberdeen
316,6,sensible,Aberdeen
317,1,pre_crastinate,Aberdeen
317,2,pre_crastinate,Aberdeen
317,3,pre_crastinate,Aberdeen
317,4,pre_crastinate,Aberdeen
317,5,pre_crastinate,Aberdeen
317,6,pre_crastinate,Aberdeen
318,1,pre_crastinate,Aberdeen
318,2,pre_crastinate,Aberdeen
318,3,pre_crastinate,Aberdeen
318,4,pre_crastinate,Aberdeen
318,5,pre_crastinate,Aberdeen
318,6,pre_crastinate,Aberdeen
319,1,pre_crastinate,Aberdeen
319,2,pre_crastinate,Aberdeen
319,3,pre_crastinate,Aberdeen
319,4,pre_crastinate,Aberdeen
319,5,pre_crastinate,Aberdeen
319,6,pre_crastinate,Aberdeen
320,1,sensible,Aberdeen
320,2,sensible,Aberdeen
320,3,sensible,Aberdeen
320,4,sensible,Aberdeen
320,5,sensible,Aberdeen
320,6,sensible,Aberdeen
321,1,pre_crastinate,Aberdeen
321,2,pre_crastinate,Aberdeen
321,3,pre_crastinate,Aberdeen
321,4,pre_crastinate,Aberdeen
321,5,sensible,Aberdeen
321,6,pre_crastinate,Aberdeen
322,1,pre_crastinate,Aberdeen
322,2,pre_crastinate,Aberdeen
322,3,pre_crastinate,Aberdeen
322,4,pre_crastinate,Aberdeen
322,5,pre_crastinate,Aberdeen
322,6,pre_crastinate,Aberdeen
402,1,sensible,Aberdeen
402,2,sensible,Aberdeen
402,3,pre_crastinate,Aberdeen
402,4,pre_crastinate,Aberdeen
402,5,pre_crastinate,Aberdeen
402,6,pre_crastinate,Aberdeen
403,1,pre_crastinate,Aberdeen
403,2,sensible,Aberdeen
403,3,sensible,Aberdeen
403,4,sensible,Aberdeen
403,5,sensible,Aberdeen
403,6,sensible,Aberdeen
404,1,double_pre_cra,Aberdeen
404,2,double_pre_cra,Aberdeen
404,3,double_pre_cra,Aberdeen
404,4,double_pre_cra,Aberdeen
404,5,double_pre_cra,Aberdeen
404,6,double_pre_cra,Aberdeen
405,1,pre_crastinate,Aberdeen
405,2,pre_crastinate,Aberdeen
405,3,pre_crastinate,Aberdeen
405,4,pre_crastinate,Aberdeen
405,5,pre_crastinate,Aberdeen
405,6,pre_crastinate,Aberdeen
406,1,double_pre_cra,Aberdeen
