person,prop_hard,site,targ_side_rel,median_rt,accuracy
623,0.5433629007158419,Aberdeen,easy,0.835,0.9583333333333334
623,0.5433629007158419,Aberdeen,hard,6.318,0.21739130434782608
625,0.839627659574468,Aberdeen,absent,0.8214999999999999,0.9791666666666666
625,0.839627659574468,Aberdeen,easy,0.6935,0.9166666666666666
625,0.839627659574468,Aberdeen,hard,0.96,0.21739130434782608
626,0.6589424141749723,Aberdeen,absent,13.006499999999999,0.9791666666666666
626,0.6589424141749723,Aberdeen,easy,1.345,1
626,0.6589424141749723,Aberdeen,hard,10.757,0.6086956521739131
628,0.27653663693085134,Aberdeen,absent,14.876999999999999,0.9782608695652174
628,0.27653663693085134,Aberdeen,easy,0.9795,1
628,0.27653663693085134,Aberdeen,hard,13.0265,0.25
629,0.8323366555924695,Aberdeen,absent,14.964500000000001,1
629,0.8323366555924695,Aberdeen,easy,1.546,0.9166666666666666
629,0.8323366555924695,Aberdeen,hard,11.138000000000002,0.25
630,0.3444200726809422,Aberdeen,absent,6.0785,0.9791666666666666
630,0.3444200726809422,Aberdeen,easy,1.038,0.9565217391304348
630,0.3444200726809422,Aberdeen,hard,5.3855,0.08333333333333333
631,0.7887401430405281,Aberdeen,absent,4.0365,0.9166666666666666
631,0.7887401430405281,Aberdeen,easy,1.352,0.875
631,0.7887401430405281,Aberdeen,hard,3.644,0.08333333333333333
632,0.25603167261354126,Aberdeen,absent,12.502,1
632,0.25603167261354126,Aberdeen,easy,0.951,1
632,0.25603167261354126,Aberdeen,hard,10.858,0.5
633,0.4732368191621163,Aberdeen,absent,12.0325,0.8333333333333334
633,0.4732368191621163,Aberdeen,easy,1.88,1
633,0.4732368191621163,Aberdeen,hard,10.983,0.3333333333333333
634,0.46042776778070893,Aberdeen,absent,6.093,0.7916666666666666
634,0.46042776778070893,Aberdeen,easy,0.9415,0.9583333333333334
